Gene	CUI
b0001	0.0238320755051
b0002	0.0229813134829
b0003	0.0222911688727
b0004	0.0241332644037
b0005	0.0194368428775
b0006	0.0231629655471
b0007	0.0218973401495
b0008	0.0255742306655
b0009	0.0226599207959
b0010	0.0262541041377
b0011	0.0229917337969
b0013	0.0226571748464
b0014	0.0255100080309
b0015	0.0232750645696
b0016	0.0196360132222
b0018	0.0189552388538
b4412	0.0202158009605
b0019	0.022651405798
b0020	0.0214277505964
b0021	0.0208676329998
b0022	0.0182758290709
b0023	0.0218353053803
b0024	0.0187760967387
b0025	0.0230376829705
b0026	0.0240749948911
b0027	0.0237451472647
b0028	0.0244370909916
b0029	0.0244759641544
b0030	0.0222679979463
b0031	0.0233183310189
b0032	0.023211361729
b0033	0.0253732737837
b0034	0.020780996752
b0035	0.0205582166897
b0036	0.0251876273759
b0037	0.0225833310895
b0038	0.0238849207406
b0039	0.0238820720528
b0040	0.0223621434028
b0041	0.0239979455902
b0042	0.0240638542458
b0043	0.0239166936193
b0044	0.0239926664762
b0045	0.0224432117421
b0046	0.0226615252324
b0047	0.0251107908377
b0048	0.0228896279709
b0049	0.0242754881746
b0050	0.0209086158687
b0051	0.0231010505529
b0052	0.0227568990323
b0053	0.0246993409777
b0054	0.0215548795282
b0055	0.0240007433725
b0058	0.0229848999808
b0059	0.0256210807013
b0060	0.0229854987829
b0061	0.0228186166496
b0062	0.0242821723112
b0063	0.0229069644288
b0064	0.0210156074249
b0065	0.0237095444356
b0066	0.0220515895887
b0067	0.0241567939001
b0068	0.0236193133783
b0069	0.0222412653498
b4662	0.0194845810559
b0070	0.0209645479759
b0071	0.0242311168411
b0072	0.0246783669875
b0073	0.0244741208233
b0074	0.0240765549676
b0075	0.0160739358331
b0076	0.0204966941551
b0077	0.0215383627126
b0078	0.021634991465
b0080	0.0225992906698
b0081	0.0214727816144
b0082	0.0231368173957
b0083	0.0215712756381
b0084	0.0228115981221
b0085	0.0240684451247
b0086	0.0236782575302
b0087	0.0242185133806
b0088	0.0247460855405
b0089	0.0241892432779
b0090	0.0230014401804
b0091	0.0237383620036
b0092	0.0223335048944
b0093	0.0223666159332
b0094	0.0220905678113
b0095	0.0244256466107
b0096	0.0232441627088
b0097	0.0205867523076
b0098	0.0252705441055
b0099	0.0241844756843
b0101	0.0205679885931
b0102	0.0231998381242
b0103	0.021802287799
b0104	0.0231493075655
b0106	0.02241624587
b0107	0.0207653558211
b0108	0.0209495491909
b0109	0.0233320358532
b0110	0.021587299151
b0111	0.0220472117164
b0112	0.0240630591416
b0113	0.0228069795829
b0114	0.0244477286395
b0115	0.0250333249944
b0116	0.0249806463195
b0117	0.0196875756867
b0118	0.0254177730359
b0119	0.0239331150989
b0120	0.0229372825889
b0121	0.0222903930741
b0122	0.0214696110377
b0123	0.0231791085721
b0124	0.0236422536843
b0125	0.0254610399961
b0126	0.022561532951
b0127	0.0235802393236
b0128	0.0224931689023
b0129	0.0202145175618
b0130	0.0216085174036
b0131	0.0230198913533
b0132	0.0212308549649
b0133	0.0246180197349
b0134	0.0240575014377
b0135	0.0178258005476
b0136	0.0183843351723
b0137	0.0185465038861
b0138	0.0191872118188
b0139	0.0199118169209
b0140	0.0203895494359
b0141	0.0218178044031
b0142	0.0223636867829
b0143	0.0237664551775
b0144	0.0210743416498
b0145	0.0245554621507
b0146	0.0209828432035
b0147	0.0201393280734
b0148	0.0231895889625
b0149	0.0237207231042
b0150	0.0224990838101
b0151	0.0240354085587
b0152	0.0228604344933
b0153	0.0245420197953
b0154	0.0240986430138
b0155	0.0232517387525
b0156	0.0250715922978
b0157	0.0229485950815
b0158	0.0217707004538
b0159	0.0234780144067
b0160	0.021555951649
b0161	0.0245886110886
b0162	0.0232880641322
b0163	0.0230801059357
b0164	0.0214365958921
b0166	0.0244072997889
b0167	0.0224946691109
b0168	0.0237359713454
b0169	0.0241502718701
b0170	0.0251246340959
b0171	0.0253320485218
b0172	0.0256564564083
b0173	0.0225653167289
b0174	0.0214357036607
b0175	0.0208614197905
b0176	0.0215093027825
b0177	0.0225842052203
b0178	0.0247959616697
b0179	0.022623467447
b0180	0.0240796851715
