Gene	CUI
b4702	0.0135733609096
b4669	0.013933227374
b2018	0.0149089373153
b4594	0.0155810332042
b4668	0.0155974648855
b1229	0.0156944452889
b0075	0.0160739358331
b1160	0.016141967521
b4674	0.0162171547361
b0702	0.0164238914427
b4588	0.0164505590226
b0546	0.0166144948306
b1348	0.0166655948673
b1565	0.0166942816051
b4677	0.0168001807978
b1043	0.0168202872697
b4586	0.0168232114846
b4637	0.0168269941382
b1085	0.0168847345396
b4598	0.0168897877615
b1357	0.0169279649658
b3622	0.0170082374209
b1137	0.0171617340955
b2352	0.0172451564245
b2035	0.0172500867732
b3027	0.0172670048037
b1148	0.0173003084295
b1141	0.0173308803891
b0545	0.017348608692
b1139	0.0173824072101
b2757	0.0174166749423
b2082	0.0174724102195
b4678	0.0175034880526
b4557	0.0175088202786
b3119	0.0175296186766
b1363	0.0175302188516
b0288	0.0175448871685
b4655	0.0175916665147
b4204	0.0175990203817
b0278	0.0176063050019
b2849	0.0176104988935
b2598	0.0176237608148
b0564	0.0177127036048
b2626	0.017715230059
b4620	0.017729231173
b2624	0.0177613595211
b4595	0.017813609277
b3324	0.0178154297004
b0135	0.0178258005476
b1420	0.0178573735724
b0280	0.0178589730688
b4402	0.0178727679677
b1970	0.0179026124459
b0327	0.0179096042601
b1353	0.017910159905
b3516	0.0179232927427
b4550	0.0179370636593
b2940	0.0179596241565
b3818	0.0179658045015
b2350	0.0179733964222
b4312	0.0180132168255
b3442	0.0180163506732
b4664	0.0180181929557
b4510	0.0180457767098
b0544	0.0180469693779
b4589	0.0180484147737
b4279	0.0180498654323
b0228	0.0180515401546
b2332	0.0180664900471
b3623	0.018076426818
b2037	0.0180820463752
b2112	0.0180903471707
b0548	0.0180953552767
b2853	0.0181033065426
b4409	0.0181188010885
b3596	0.018138176234
b2376	0.0181611346808
b3766	0.018166585876
b4201	0.0181843929804
b0295	0.018188695665
b4516	0.0181927078556
b4128	0.0182076106932
b4294	0.0182501541815
b2033	0.0182640564861
b0022	0.0182758290709
b1894	0.0182758290709
b3444	0.0182758290709
b2846	0.0182827549188
b1138	0.0182983276955
b4277	0.0183089459834
b1730	0.0183270678824
b4665	0.0183364822798
b0279	0.0183495616675
b3362	0.018364458539
b1159	0.0183693146897
b4528	0.0183720835246
